Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
Jordan Weal,20192020,MTL,R,C,45,7,7,14,-7,14,0.31,5,9,2,5,0,0,0,2,75,9.3,49.2,13.53333333
Austin Watson,20192020,NSH,R,L,52,6,8,14,-8,65,0.27,6,12,0,0,0,2,0,1,49,12.2,50,11.71666667
Carter Rowney,20192020,ANA,R,C,65,6,8,14,2,14,0.22,4,10,0,0,2,4,0,1,59,10.2,44.7,12.71666667
Michael Frolik,20192020,"CGY,BUF",L,R,56,6,8,14,-12,28,0.25,4,11,0,0,2,3,0,1,69,8.7,28.6,12.46666667
Mathieu Perreault,20192020,WPG,L,L,46,6,8,14,-9,10,0.3,5,13,1,1,0,0,0,0,68,8.8,66.7,13.38333333
Riley Nash,20192020,CBJ,R,C,61,5,9,14,5,10,0.23,4,13,0,0,1,1,0,1,61,8.2,48,11.68333333
Marc-Edouard Vlasic,20192020,SJS,L,D,65,5,9,14,-7,10,0.22,4,13,0,0,1,1,0,1,68,7.3,--,20.25
Nate Thompson,20192020,"MTL,PHI",L,C,66,4,10,14,-3,25,0.21,4,13,0,0,0,1,0,1,64,6.3,55,12.81666667
Leo Komarov,20192020,NYI,L,R,45,4,10,14,6,6,0.31,4,13,0,0,0,1,0,1,44,9.1,40.2,12.68333333
Alec Martinez,20192020,"LAK,VGK",L,D,47,3,11,14,-4,21,0.3,3,11,0,3,0,0,0,0,70,4.3,--,21.38333333
Mike Reilly,20192020,"MTL,OTT",L,D,39,1,13,14,-5,22,0.36,0,4,1,9,0,1,0,1,73,1.4,--,18.01666667
Brenden Dillon,20192020,"SJS,WSH",L,D,65,1,13,14,1,96,0.22,1,13,0,0,0,1,0,0,55,1.8,--,19.41666667
Ryan Lindgren,20192020,NYR,L,D,55,1,13,14,14,43,0.25,1,14,0,0,0,0,0,0,39,2.6,--,16.56666667
Garnet Hathaway,20192020,WSH,R,R,62,7,6,13,2,77,0.21,7,12,0,0,0,1,0,1,71,9.9,31,10.78333333
Ryan Reaves,20192020,VGK,R,R,67,7,6,13,-5,47,0.19,7,13,0,0,0,0,0,1,57,12.3,46.8,10.03333333
Tomas Nosek,20192020,VGK,L,L,63,7,6,13,-1,20,0.21,6,12,0,0,1,1,0,1,87,8,50.5,11.48333333
Sam Gagner,20192020,"EDM,DET",R,C,39,6,7,13,-9,12,0.33,4,10,2,3,0,0,0,0,75,8,45.2,13.23333333
Zach Aston-Reese,20192020,PIT,L,C,57,6,7,13,6,28,0.23,5,12,0,0,1,1,0,0,98,6.1,30.4,14.43333333
Nicolas Aube-Kubel,20192020,PHI,R,R,32,6,7,13,-2,19,0.41,4,10,2,3,0,0,0,1,41,14.6,33.3,11.08333333
Alexandre Texier,20192020,CBJ,L,C,36,6,7,13,3,10,0.36,6,12,0,1,0,0,1,1,49,12.2,36.5,12.75
Sam Lafferty,20192020,PIT,R,C,47,6,7,13,6,19,0.28,6,13,0,0,0,0,0,1,52,11.5,50,9.566666667
Zdeno Chara,20192020,BOS,L,D,64,5,8,13,24,55,0.2,5,13,0,0,0,0,0,2,82,6.1,--,20.98333333
Scott Mayfield,20192020,NYI,R,D,63,5,8,13,10,53,0.21,5,11,0,0,0,2,0,1,95,5.3,--,19.91666667
Ben Hutton,20192020,LAK,L,D,61,4,9,13,3,14,0.21,4,13,0,0,0,0,0,1,101,4,--,18.16666667
Nikolai Prokhorkin,20192020,LAK,L,L,39,4,9,13,-7,6,0.33,4,10,0,3,0,0,0,1,56,7.1,46.9,12.21666667
Nikita Zadorov,20192020,COL,L,D,61,4,9,13,9,61,0.21,4,13,0,0,0,0,0,0,64,6.3,--,17.98333333
Marco Scandella,20192020,"BUF,MTL,STL",L,D,57,4,9,13,15,18,0.23,4,13,0,0,0,0,0,0,68,5.9,--,17.3
Jordan Oesterle,20192020,ARI,L,D,55,3,10,13,-8,14,0.24,3,11,0,2,0,0,0,0,66,4.5,--,17
Robert Hagg,20192020,PHI,L,D,45,3,10,13,15,25,0.29,2,12,1,1,0,0,0,0,36,8.3,--,15.58333333
Andy Greene,20192020,"NJD,NYI",L,D,59,2,11,13,3,14,0.22,2,10,0,1,0,2,0,0,58,3.5,--,19.71666667
Erik Johnson,20192020,COL,R,D,54,2,11,13,8,16,0.24,2,13,0,0,0,0,0,1,92,2.2,--,20.83333333
Tucker Poolman,20192020,WPG,R,D,53,2,11,13,-5,24,0.25,2,13,0,0,0,0,0,0,61,3.3,--,17.66666667
Andrew Cogliano,20192020,DAL,L,C,64,2,11,13,1,28,0.2,2,13,0,0,0,0,0,0,65,3.1,47.2,12.55
Michael Del Zotto,20192020,ANA,L,D,43,2,11,13,1,14,0.3,2,12,0,1,0,0,0,0,51,3.9,--,18.36666667
Sam Bennett,20192020,CGY,L,C,49,8,4,12,0,36,0.24,8,11,0,1,0,0,0,0,78,10.3,52.1,12.65
Carter Verhaeghe,20192020,TBL,L,C,50,8,4,12,-9,8,0.24,7,11,1,1,0,0,0,1,55,14.5,45.2,9.366666667
Frederik Gauthier,20192020,TOR,L,C,57,7,5,12,-2,10,0.21,7,12,0,0,0,0,0,0,39,17.9,55.5,9.416666667
