"Age","Gender","Education","Educ","Political","Mean_Animal_reminder","Mean_Contamination","Mean_core","Mean_general_ds"
19,"female",12,"HS","left",3.125,2.75,3.45454545454545,3.21739130434783
25,"female",17,"Grad_Prof","right",3.625,2.5,2.18181818181818,2.73913043478261
27,"female",15,"Coll_Univ","left",2.625,2.75,3.09090909090909,2.8695652173913
46,"male",12,"HS","left",2.375,1.25,2.09090909090909,2.04347826086957
65,"female",12,"HS","left",2,1.75,2.63636363636364,2.26086956521739
26,"female",15,"Coll_Univ","right",2.375,1.25,3,2.47826086956522
54,"female",12,"HS","left",2.5,3,3.18181818181818,2.91304347826087
33,"female",17,"Grad_Prof","left",2.625,2.75,2.90909090909091,2.78260869565217
20,"female",12,"HS","right",3.375,2.5,2.27272727272727,2.69565217391304
23,"female",12,"HS","right",2.5,2.25,2.54545454545455,2.47826086956522
52,"female",15,"Coll_Univ","left",1.75,2,2.27272727272727,2.04347826086957
34,"female",15,"Coll_Univ","center",3.5,2,3.09090909090909,3.04347826086957
23,"male",15,"Coll_Univ","right",2.25,2,2.54545454545455,2.34782608695652
49,"male",25,"Grad_Prof","center",1.375,1.25,1.18181818181818,1.26086956521739
68,"male",19,"Grad_Prof","left",1.125,1,1.81818181818182,1.43478260869565
21,"female",NA,NA,"right",NA,NA,NA,NA
18,"female",12,"HS","right",2.875,1.5,3.09090909090909,2.73913043478261
29,"female",15,"Coll_Univ","left",1.5,1.5,2.18181818181818,1.82608695652174
26,"female",15,"Coll_Univ","center",2.875,1.5,1.63636363636364,2.04347826086957
30,"male",15,"Coll_Univ","left",2.875,1.25,1.81818181818182,2.08695652173913
24,"female",12,"HS","center",2.625,3,2.90909090909091,2.82608695652174
62,"male",12,"HS","center",3.125,2.75,2.45454545454545,2.73913043478261
20,"male",12,"HS","right",1.625,1,1.45454545454545,1.43478260869565
26,"male",12,"HS","right",2.75,1.5,2.45454545454545,2.39130434782609
31,"female",15,"Coll_Univ","right",3.125,2.75,3.45454545454545,3.21739130434783
60,"female",15,"Coll_Univ","left",3.25,3.25,2.81818181818182,3.04347826086957
35,"male",15,"Coll_Univ","center",3,2,2.27272727272727,2.47826086956522
27,"male",16,"Coll_Univ","left",2.5,2.5,2.72727272727273,2.60869565217391
32,"female",15,"Coll_Univ","left",2.625,0.25,1.81818181818182,1.82608695652174
19,"female",12,"HS","right",2.875,1.5,1.90909090909091,2.17391304347826
29,"female",15,"Coll_Univ","center",3.375,1,2.81818181818182,2.69565217391304
23,"male",12,"HS","right",2.375,1.75,2.27272727272727,2.21739130434783
24,"male",12,"HS","center",NA,NA,NA,NA
21,"female",14,"HS","right",2.625,2.25,2.81818181818182,2.65217391304348
23,"female",NA,NA,"right",NA,NA,NA,NA
38,"male",16,"Coll_Univ","center",1.75,0.75,1.27272727272727,1.34782608695652
46,"male",32,"Grad_Prof","center",NA,NA,NA,NA
43,"female",15,"Coll_Univ","center",2.75,2.5,2.90909090909091,2.78260869565217
29,"male",12,"HS","left",2.25,2.5,2.36363636363636,2.34782608695652
30,"female",15,"Coll_Univ","left",2.125,2.5,3.18181818181818,2.69565217391304
27,"male",12,"HS","right",2.375,0,1.27272727272727,1.43478260869565
30,"male",16,"Coll_Univ","left",2,1,2,1.82608695652174
34,"female",19,"Grad_Prof","left",2.5,1.75,2.36363636363636,2.30434782608696
32,"male",16,"Coll_Univ","center",2.625,3.25,2.81818181818182,2.82608695652174
45,"female",12,"HS","left",3.75,3.25,3.09090909090909,3.34782608695652
22,"female",11,"Less_HS","right",2.125,1,2.45454545454545,2.08695652173913
30,"male",13,"HS","right",2.25,1.75,2.45454545454545,2.26086956521739
24,"female",14,"HS","right",2.875,2,2.63636363636364,2.60869565217391
18,"female",12,"HS","left",2.125,2,2.81818181818182,2.43478260869565
23,"male",12,"HS","center",2.375,3,3,2.78260869565217
64,"male",12,"HS","left",3.125,2.5,2,2.47826086956522
28,"male",14,"HS","left",2.75,1.25,1.90909090909091,2.08695652173913
24,"female",12,"HS","right",2.375,1.5,2.63636363636364,2.34782608695652
25,"male",13,"HS","right",NA,NA,NA,NA
47,"female",16,"Coll_Univ","center",2.375,2.25,2.18181818181818,2.26086956521739
37,"female",18,"Grad_Prof","center",2.75,1.5,2.54545454545455,2.43478260869565
34,"male",17,"Grad_Prof","right",2.5,2.25,1.81818181818182,2.1304347826087
22,"male",12,"HS","left",2,1,1.90909090909091,1.78260869565217
59,"female",12,"HS","left",3.5,3.5,3.72727272727273,3.60869565217391
